"Date";"Amount";"Original amount";"Original currency";"Exchange rate";"Description";"Subject";"Category";"Tags";"Wise";"Spaces"
"2022-11-23";"-5.80";"";"";"";"Mensa Cafeteria UZH";;"food";"";"no";"no"
"2022-11-22";"-9.00";"";"";"";"Migros";;"household";"";"no";"no"
"2022-11-22";"-9.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-11-21";"-5.80";"";"";"";"Mensa Cafeteria UZH";;"food";"";"no";"no"
"2022-11-18";"-7.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-11-18";"-20.14";"";"";"";"PAYPAL *FRONTGATETX ED";;"leisure";"";"no";"no"
"2022-11-17";"-8.00";"";"";"";"Coop";;"household";"";"no";"no"
"2022-11-17";"-35.00";"";"";"";"Hirsch-Apotheke AG";;"health";"";"no";"no"
"2022-11-17";"-5.80";"";"";"";"Mensa Cafeteria UZH";;"food";"";"no";"no"
"2022-11-16";"-5.80";"";"";"";"Mensa Cafeteria UZH";;"food";"";"no";"no"
"2022-11-15";"-11.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-11-15";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-11-14";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-11-14";"-12.15";"";"";"";"Migros";;"household";"";"no";"no"
"2022-11-13";"-11.00";"";"";"";"Restaurant Troja";;"food";"";"no";"no"
"2022-11-12";"-3.50";"";"";"";"Migros";;"household";"";"no";"no"
"2022-11-11";"-7.80";"";"";"";"Migros";;"household";"";"no";"no"
"2022-11-11";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-11-10";"-2.30";"";"";"";"Coop";;"household";"";"no";"no"
"2022-11-10";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-11-09";"-5.25";"";"";"";"Migros";;"household";"";"no";"no"
"2022-11-09";"-90.73";"";"";"";"PAYPAL *FRONTGATETX ED";;"leisure";"";"no";"no"
"2022-11-09";"-2.95";"";"";"";"Coop";;"household";"";"no";"no"
"2022-11-09";"-7.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-11-08";"-6.10";"";"";"";"Coop";;"household";"";"no";"no"
"2022-11-08";"-3.80";"";"";"";"Selecta";;"food";"";"no";"no"
"2022-11-08";"-107.50";"";"";"";"Walk-In-Labor Zollhaus";;"health";"";"no";"no"
"2022-11-08";"-25.40";"";"";"";"SBB CFF FFS";;"transport";"";"no";"no"
"2022-11-08";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-11-08";"-3.90";"";"";"";"Selecta";;"food";"";"no";"no"
"2022-11-07";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-11-04";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-11-03";"-8.55";"";"";"";"Coop";;"household";"";"no";"no"
"2022-11-03";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-11-01";"-7.30";"";"";"";"Migros";;"household";"";"no";"no"
"2022-11-01";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-29";"-3.60";"";"";"";"Migros Restaurant";;"food";"";"no";"no"
"2022-10-29";"-9.90";"";"";"";"Coop";;"household";"";"no";"no"
"2022-10-28";"-20.92";"";"";"";"PAYPAL *FRONTGATETX ED";;"leisure";"";"no";"no"
"2022-10-28";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-27";"-5.15";"-7.00";"CAD";"1.35922";"Immigration, Refugees and Citizenship Canada";;"transport";"";"no";"no"
"2022-10-26";"-6.90";"";"";"";"Mensa Cafeteria UZH";;"food";"";"no";"no"
"2022-10-26";"-75.26";"-75.00";"USD";"0.99655";"SQ *VOX NOVA";;"health";"";"no";"no"
"2022-10-26";"-10.00";"";"";"";"Eventfrog";;"leisure";"";"no";"no"
"2022-10-25";"141.00";"";"";"";"Zalando";;"income";"";"no";"no"
"2022-10-25";"-297.90";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-10-25";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-24";"-5.80";"";"";"";"Mensa Cafeteria UZH";;"food";"";"no";"no"
"2022-10-21";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-20";"-7.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-19";"-62.00";"";"";"";"ZVV";;"transport";"";"no";"no"
"2022-10-19";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-18";"-14.06";"";"";"";"Alipay";;"shopping";"";"no";"no"
"2022-10-18";"-3.95";"";"";"";"Coop";;"household";"";"no";"no"
"2022-10-18";"-11.30";"";"";"";"Denner";;"household";"";"no";"no"
"2022-10-17";"-103.70";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-10-17";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-14";"-92.07";"";"";"";"PAYPAL *FRONTGATETX ED";;"leisure";"";"no";"no"
"2022-10-11";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-10";"-7.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-10";"-39.99";"-54.76";"CAD";"1.36934";"COMFY GUEST";;"travel";"";"no";"no"
"2022-10-07";"-9.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-06";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-06";"-33.00";"";"";"";"Grenzpaket GmbH";"QR-Bill: REF: 000000000001553510002522931";"health";"";"no";"no"
"2022-10-06";"-154.02";"";"";"";"IMAI Agency s.r.o.";"331532";"health";"";"yes";"no"
"2022-10-05";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-05";"-4.90";"";"";"";"Coop";;"household";"";"no";"no"
"2022-10-03";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-01";"-4.82";"-5.00";"EUR";"1.03734";"Ihre Lieferadresse";;"shopping";"";"no";"no"
"2022-10-01";"-26.00";"";"";"";"SBB CFF FFS";;"transport";"";"no";"no"
"2022-09-29";"-10.37";"";"";"";"PAYPAL *FRONTGATETX ED";;"leisure";"";"no";"no"
"2022-09-29";"-10.37";"";"";"";"PAYPAL *FRONTGATETX ED";;"leisure";"";"no";"no"
"2022-09-29";"-890.70";"";"";"";"Hotelplan";;"travel";"";"no";"no"
"2022-09-27";"-63.37";"";"";"";"Shop-Apotheke";;"health";"";"no";"no"
"2022-09-26";"-114.05";"";"";"";"Dr. U. Reinhard AG";;"health";"";"no";"no"
"2022-09-26";"-1.75";"";"";"";"Denner";;"household";"";"no";"no"
"2022-09-26";"-12.00";"";"";"";"Piadina Bar";;"food";"";"no";"no"
"2022-09-26";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-09-23";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-09-22";"-153.00";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-09-22";"-5.80";"";"";"";"Mensa Cafeteria UZH";;"food";"";"no";"no"
"2022-09-21";"-7.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-09-20";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-09-20";"-62.00";"";"";"";"ZVV";;"transport";"";"no";"no"
"2022-09-20";"-15.00";"";"";"";"Eventfrog";;"leisure";"";"no";"no"
"2022-09-20";"-5.80";"";"";"";"Mensa Cafeteria UZH";;"food";"";"no";"no"
"2022-09-19";"-397.50";"";"";"";"Stephan Dietiker";"Rechnung 29.8.22";"health";"";"no";"no"
"2022-09-18";"-68.98";"-71.71";"EUR";"1.03958";"Amazon";;"shopping";"";"no";"no"
"2022-09-18";"-39.00";"";"";"";"SBB CFF FFS";;"transport";"";"no";"no"
"2022-09-16";"-54.70";"";"";"";"Digitec Galaxus AG";;"leisure";"";"no";"no"
"2022-09-16";"-54.90";"-57.08";"EUR";"1.03971";"LoveCrafts.com";;"shopping";"";"no";"no"
"2022-09-14";"-406.60";"-420.00";"EUR";"1.03296";"M MME LAMBERT";;"travel";"";"no";"no"
"2022-09-14";"-12.20";"";"";"";"SBB CFF FFS";;"transport";"";"no";"no"
"2022-09-13";"-54.10";"-55.50";"EUR";"1.02588";"VOISIN";;"uncategorized";"";"no";"no"
"2022-09-13";"-12.57";"-12.90";"EUR";"1.02625";"HARVEL'S";;"food";"";"no";"no"
"2022-09-12";"-43.30";"-44.50";"EUR";"1.02771";"SOLE CAFE";;"food";"";"no";"no"
"2022-09-12";"-138.16";"-142.00";"EUR";"1.02779";"CHAPEL CARTIER";;"travel";"";"no";"no"
"2022-09-11";"-29.19";"-30.00";"EUR";"1.02775";"KUSADASI";;"travel";"";"no";"no"
"2022-09-11";"-4.86";"-5.00";"EUR";"1.02881";"JCDECAUX VELOV";;"leisure";"";"no";"no"
"2022-09-11";"-4.86";"-5.00";"EUR";"1.02881";"JCDECAUX VELOV";;"leisure";"";"no";"no"
"2022-09-10";"-16.54";"-17.00";"EUR";"1.02781";"HARVEL'S";;"food";"";"no";"no"
"2022-09-10";"-34.54";"-35.50";"EUR";"1.02779";"INADA";;"food";"";"no";"no"
"2022-09-09";"-27.39";"-28.00";"EUR";"1.02227";"AQUARIUMS OCEANWORL";;"leisure";"";"no";"no"
"2022-09-09";"-6.13";"-6.27";"EUR";"1.02284";"Biocoop";;"household";"";"no";"no"
"2022-09-08";"-15.06";"-15.40";"EUR";"1.02258";"AVARELLO NICOLO";;"uncategorized";"";"no";"no"
"2022-09-08";"-15.35";"-15.70";"EUR";"1.02280";"SLAKE";;"uncategorized";"";"no";"no"
"2022-09-08";"-34.22";"-35.00";"EUR";"1.02279";"CAFE GADAGNE";;"food";"";"no";"no"
"2022-09-08";"-4.89";"-5.00";"EUR";"1.02249";"SLAKE";;"uncategorized";"";"no";"no"
"2022-09-07";"-2.39";"-2.44";"EUR";"1.02092";"Carrefour";;"household";"";"no";"no"
"2022-09-07";"-23.59";"-24.10";"EUR";"1.02162";"GOURMIX";;"food";"";"no";"no"
"2022-09-07";"-31.29";"-32.00";"EUR";"1.02269";"INADA";;"food";"";"no";"no"
"2022-09-06";"-188.44";"-193.07";"EUR";"1.02457";"ONLYLYON";;"travel";"";"no";"no"
"2022-09-06";"-815.97";"-836.00";"EUR";"1.02455";"PATIO LYON CONF";;"travel";"";"no";"no"
"2022-09-06";"900.00";"";"";"";"Eveline Lehmann";;"income";"";"no";"no"
"2022-09-06";"5000.00";"";"";"";"Albert Lehmann-Knoblauch";;"income";"";"no";"no"
"2022-09-05";"-12.20";"";"";"";"SBB CFF FFS";;"transport";"";"no";"no"
"2022-09-01";"-367.72";"-374.20";"EUR";"1.01762";"SNCF";;"transport";"";"no";"no"
"2022-08-31";"-150.00";"";"";"";"Payward Ltd.";"AA20 N84G G54F K6SQ";"cash";"";"no";"no"
"2022-08-24";"-151.86";"";"";"";"IMAI Agency s.r.o.";"330463";"health";"";"yes";"no"
"2022-08-23";"-6.95";"";"";"";"Coop";;"household";"";"no";"no"
"2022-08-19";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-08-18";"-4.15";"";"";"";"Coop";;"household";"";"no";"no"
"2022-08-18";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-08-17";"-6.75";"";"";"";"Denner";;"household";"";"no";"no"
"2022-08-16";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-08-15";"-39.00";"";"";"";"SBB CFF FFS";;"transport";"";"no";"no"
"2022-08-09";"-83.00";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-07-30";"-150.00";"";"";"";"Apple";;"leisure";"";"no";"no"
"2022-07-30";"-1270.15";"";"";"";"Apple";;"leisure";"";"no";"no"
"2022-07-25";"200.00";"";"";"";"Eveline Lehmann";"Damit das Konto Wieder Stimmt ";"income";"";"no";"no"
"2022-07-20";"-540.00";"";"";"";"Stephan Dietiker";"2. Rechnung Oliver L";"health";"";"no";"no"
"2022-07-09";"-60.80";"";"";"";"SBB CFF FFS";;"transport";"";"no";"no"
"2022-07-08";"300.00";"";"";"";"Eveline Lehmann";"fur Ein Feines Essen mit Mama und fur Etwas das Dir Freude Bereitet ";"income";"";"no";"no"
"2022-07-06";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-07-06";"-8.40";"";"";"";"Denner";;"household";"";"no";"no"
"2022-07-05";"150.00";"";"";"";"Amt Fur Militar und Bevolkerungssch";"Gk / Fk Fu 1 ";"income";"";"no";"no"
"2022-07-05";"1519.00";"";"";"";"AOS- SWITZERLAND";;"income";"";"no";"no"
"2022-07-04";"-74.40";"";"";"";"Bijouteria";"ESR: 01-61898-6 / 000000000000000010089303542";"leisure";"";"no";"no"
"2022-07-03";"-34.00";"";"";"";"SBB CFF FFS";;"transport";"";"no";"no"
"2022-07-02";"-76.55";"";"";"";"Etsy";;"shopping";"";"no";"no"
"2022-06-25";"-34.85";"";"";"";"FedEx";;"transport";"";"no";"no"
"2022-06-21";"-53.88";"-52.84";"EUR";"0.98070";"Penworld - Rombouts";;"household";"";"no";"no"
"2022-06-20";"-180.00";"";"";"";"Stephan Dietiker";"Oliver Lehmann 1. Rechnung";"health";"";"no";"no"
"2022-06-10";"-16.75";"";"";"";"Marc Philipp Meiners";"Splitwise";"travel";"";"no";"no"
"2022-06-10";"-68.78";"";"";"";"Tobias Muller";"Splitwise";"travel";"";"no";"no"
"2022-06-09";"-1519.00";"";"";"";"AOS- SWITZERLAND";;"household";"";"no";"no"
"2022-06-08";"-300.00";"";"";"";"TWINT";"ESR: 01-95969-6 / 000000000006136184317317064";"cash";"";"no";"no"
"2022-05-19";"-142.90";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-05-19";"1000.00";"";"";"";"Eveline Lehmann";"Lieber Oliver Herzlich Gratuliere Ich Dir zu Deinem Geburtstag  Dein Gotti";"income";"";"no";"no"
"2022-05-18";"-35.10";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-05-18";"2200.00";"";"";"";"Albert Lehmann-Knoblauch";"Geburtstag";"income";"";"no";"no"
"2022-05-10";"-145.04";"-145.51";"USD";"1.00324";"Dolls Kill";;"leisure";"";"no";"no"
"2022-05-09";"-34.50";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-05-06";"-10.80";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-05-04";"-89.90";"-91.35";"USD";"1.01613";"Dolls Kill";;"leisure";"";"no";"no"
"2022-05-04";"-242.00";"";"";"";"RRREVOLVE";;"shopping";"";"no";"no"
"2022-05-02";"-70.95";"";"";"";"S.OLIVER.CH";;"leisure";"";"no";"no"
"2022-05-02";"-92.81";"";"";"";"Klarna";"QR-Bill: PURPOSE: BP3T7Z7Q21 7598 / REF: 110000000000260297218108706";"shopping";"";"no";"no"
"2022-04-28";"-22.00";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-04-27";"-115.92";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-04-27";"-105.00";"";"";"";"Liquid Hair Salon GmbH";;"food";"";"no";"no"
"2022-04-25";"-6.70";"";"";"";"McDonald's";;"food";"";"no";"no"
"2022-04-22";"-15.00";"";"";"";"Tobias Muller";"Fisch toulon";"travel";"";"no";"no"
"2022-04-20";"-3.59";"-3.50";"EUR";"0.97493";"PARC FUNNYLAND";;"travel";"";"no";"no"
"2022-04-19";"-5.61";"-5.50";"EUR";"0.98039";"McDonald's";;"food";"";"no";"no"
"2022-04-19";"8.00";"";"";"";"Eidgenossische Technische Hochschule Zurich (ETH)";"Rg.ETH Descil Pay von 12.04.2022///";"income";"";"no";"no"
"2022-04-09";"-38.31";"";"";"";"Etsy";;"shopping";"";"no";"no"
"2022-04-06";"-20.15";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-04-05";"1100.00";"";"";"";"Eveline Lehmann";"Frohe Ostern und Schoene Ferien ";"income";"";"no";"no"
"2022-04-04";"-57.50";"";"";"";"ASOS";;"leisure";"";"no";"no"
"2022-04-04";"-8.10";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-04-04";"102.70";"";"";"";"TWINT";;"income";"";"no";"no"
"2022-03-31";"-15.25";"-12.48";"GBP";"0.81836";"Etsy";;"shopping";"";"no";"no"
"2022-03-30";"10.65";"";"";"";"Eidgenossische Technische Hochschule Zurich (ETH)";"Rg.ETH Descil Pay von 23.03.2022///";"income";"";"no";"no"
"2022-03-28";"-68.00";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-03-26";"-57.72";"";"";"";"Etsy";;"shopping";"";"no";"no"
"2022-03-21";"0.03";"";"";"";"PayPal";;"income";"";"no";"no"
"2022-03-21";"0.03";"";"";"";"PayPal";;"income";"";"no";"no"
"2022-03-21";"-210.27";"";"";"";"Airbnb";"Airbnb, oliver";"travel";"";"no";"no"
"2022-03-20";"-98.59";"-105.05";"USD";"1.06552";"PAYPAL *SKLADUSA";;"shopping";"";"no";"no"
"2022-03-20";"-61.71";"";"";"";"Etsy";;"shopping";"";"no";"no"
"2022-03-18";"-23.44";"-18.99";"GBP";"0.81015";"Etsy";;"shopping";"";"no";"no"
"2022-02-21";"30.00";"";"";"";"neon Switzerland AG, Zurich";"Willkommensfranken";"income";"";"no";"no"
"2022-02-16";"500.00";"";"";"";"Oliver Albert Lehmann";;"income";"";"no";"no"
